Source,Target,Type,Id
52,733,Directed,134
52,17,Directed,135
52,831,Directed,136
52,344,Directed,137
52,481,Directed,138
52,948,Directed,139
53,344,Directed,140
53,54,Directed,141
53,1684,Directed,142
53,493,Directed,143
53,497,Directed,144
53,222,Directed,145
53,831,Directed,146
53,857,Directed,147
53,1704,Directed,148
53,1602,Directed,149
53,225,Directed,150
53,922,Directed,151
53,156,Directed,152
53,1589,Directed,153
53,52,Directed,154
53,981,Directed,155
53,1570,Directed,156
53,1292,Directed,157
53,743,Directed,158
53,1065,Directed,159
53,639,Directed,160
53,696,Directed,161
53,859,Directed,162
53,1588,Directed,163
53,1603,Directed,164
53,1158,Directed,165
53,926,Directed,166
53,850,Directed,167
53,1580,Directed,168
53,1691,Directed,169
53,1652,Directed,170
53,1181,Directed,171
57,269,Directed,172
57,1313,Directed,173
57,1032,Directed,174
57,1560,Directed,175
57,630,Directed,176
57,791,Directed,177
57,1451,Directed,178
57,362,Directed,179
57,592,Directed,180
57,754,Directed,181
57,203,Directed,182
58,1663,Directed,183
59,1586,Directed,184
59,451,Directed,185
61,635,Directed,186
61,95,Directed,187
61,155,Directed,188
61,154,Directed,189
61,190,Directed,190
61,1313,Directed,191
61,1451,Directed,192
61,1664,Directed,193
62,1158,Directed,194
62,1652,Directed,195
62,1286,Directed,196
62,936,Directed,197
62,930,Directed,198
62,1704,Directed,199
62,1602,Directed,200
62,1570,Directed,201
62,668,Directed,202
62,660,Directed,203
63,1684,Directed,204
63,926,Directed,205
63,1699,Directed,206
63,1704,Directed,207
63,1671,Directed,208
63,1589,Directed,209
63,1570,Directed,210
63,978,Directed,211
63,1276,Directed,212
63,1690,Directed,213
63,922,Directed,214
63,850,Directed,215
63,1588,Directed,216
63,1687,Directed,217
63,1691,Directed,218
63,857,Directed,219
63,386,Directed,220
63,988,Directed,221
63,941,Directed,222
63,940,Directed,223
63,639,Directed,224
63,1353,Directed,225
63,344,Directed,226
65,492,Directed,227
65,396,Directed,228
66,176,Directed,229
66,97,Directed,230
66,174,Directed,231
66,99,Directed,232
66,109,Directed,233
67,1330,Directed,234
68,174,Directed,235
68,176,Directed,236
68,97,Directed,237
68,105,Directed,238
68,1570,Directed,239
68,99,Directed,240
74,1007,Directed,241
74,730,Directed,242
75,1313,Directed,243
75,630,Directed,244
75,818,Directed,245
76,577,Directed,246
76,1542,Directed,247
76,816,Directed,248
76,649,Directed,249
76,652,Directed,250
76,1508,Directed,251
76,160,Directed,252
76,243,Directed,253
76,1027,Directed,254
76,1024,Directed,255
76,601,Directed,256
76,1451,Directed,257
76,588,Directed,258
76,630,Directed,259
76,1313,Directed,260
76,657,Directed,261
76,1063,Directed,262
77,1108,Directed,263
77,1468,Directed,264
77,1493,Directed,265
77,1460,Directed,266
77,974,Directed,267
77,1491,Directed,268
77,438,Directed,269
78,76,Directed,270
79,1640,Directed,271
79,333,Directed,272
79,533,Directed,273
79,1442,Directed,274
79,1751,Directed,275
79,1275,Directed,276
79,1312,Directed,277
79,657,Directed,278
79,1193,Directed,279
79,390,Directed,280
79,364,Directed,281
79,877,Directed,282
80,1089,Directed,283
80,460,Directed,284
80,855,Directed,285
82,1621,Directed,286
82,904,Directed,287
83,333,Directed,288
85,333,Directed,289
85,921,Directed,290
85,912,Directed,291
85,1331,Directed,292
85,1554,Directed,293
85,468,Directed,294
85,877,Directed,295
87,333,Directed,296
87,1203,Directed,297
88,874,Directed,298
90,876,Directed,299
91,1386,Directed,300
95,61,Directed,301
95,155,Directed,302
95,154,Directed,303
95,190,Directed,304
95,635,Directed,305
95,1543,Directed,306
95,816,Directed,307
95,634,Directed,308
95,1667,Directed,309
97,174,Directed,310
97,176,Directed,311
97,109,Directed,312
97,105,Directed,313
97,66,Directed,314
97,68,Directed,315
97,1065,Directed,316
97,99,Directed,317
98,228,Directed,318
99,981,Directed,319
99,97,Directed,320
99,71,Directed,321
99,1570,Directed,322
99,626,Directed,323
99,109,Directed,324
101,460,Directed,325
101,1127,Directed,326
101,165,Directed,327
103,1588,Directed,328
103,1704,Directed,329
103,1618,Directed,330
103,988,Directed,331
104,1025,Directed,332
104,957,Directed,333
104,970,Directed,334
104,183,Directed,335
104,1504,Directed,336
104,1027,Directed,337
104,1516,Directed,338
104,791,Directed,339
104,593,Directed,340
104,1367,Directed,341
104,592,Directed,342
105,97,Directed,343
105,981,Directed,344
105,68,Directed,345
105,109,Directed,346
105,176,Directed,347
105,1570,Directed,348
106,981,Directed,349
106,850,Directed,350
106,926,Directed,351
106,1671,Directed,352
109,105,Directed,353
109,97,Directed,354
109,176,Directed,355
109,68,Directed,356
109,99,Directed,357
109,964,Directed,358
109,626,Directed,359
109,981,Directed,360
110,1730,Directed,361
110,289,Directed,362
110,1386,Directed,363
113,1203,Directed,364
113,1171,Directed,365
118,829,Directed,366
118,352,Directed,367
118,1227,Directed,368
119,303,Directed,369
119,1158,Directed,370
122,1232,Directed,371
122,1271,Directed,372
123,122,Directed,373
124,122,Directed,374
134,1647,Directed,375
136,1203,Directed,376
136,1554,Directed,377
136,1273,Directed,378
137,141,Directed,379
141,137,Directed,380
141,984,Directed,381
141,925,Directed,382
141,1531,Directed,383
141,985,Directed,384
141,571,Directed,385
141,543,Directed,386
141,1191,Directed,387
142,995,Directed,388
142,491,Directed,389
142,1212,Directed,390
142,1562,Directed,391
142,1500,Directed,392
142,1423,Directed,393
142,1379,Directed,394
142,1069,Directed,395
142,1003,Directed,396
142,927,Directed,397
142,989,Directed,398
142,1650,Directed,399
142,1645,Directed,400
142,1563,Directed,401
142,1284,Directed,402
142,275,Directed,403
142,1327,Directed,404
142,1655,Directed,405
142,1330,Directed,406
142,951,Directed,407
142,1276,Directed,408
142,1591,Directed,409
146,1207,Directed,410
146,1512,Directed,411
147,1588,Directed,412
147,1637,Directed,413
147,1620,Directed,414
147,310,Directed,415
147,1608,Directed,416
147,1594,Directed,417
147,1650,Directed,418
147,930,Directed,419
149,1328,Directed,420
149,180,Directed,421
149,413,Directed,422
149,1621,Directed,423
149,1570,Directed,424
149,162,Directed,425
149,1346,Directed,426
149,747,Directed,427
149,460,Directed,428
151,1637,Directed,429
151,1717,Directed,430
151,1285,Directed,431
151,1298,Directed,432
151,10,Directed,433
151,1232,Directed,434
151,1656,Directed,435
151,275,Directed,436
151,921,Directed,437
151,890,Directed,438
151,891,Directed,439
151,829,Directed,440
151,840,Directed,441
151,405,Directed,442
151,885,Directed,443
151,1719,Directed,444
151,1652,Directed,445
151,1327,Directed,446
151,1638,Directed,447
151,1251,Directed,448
151,1626,Directed,449
151,1316,Directed,450
151,1333,Directed,451
151,1301,Directed,452
151,1619,Directed,453
151,1655,Directed,454
151,1307,Directed,455
151,980,Directed,456
151,1605,Directed,457
151,1245,Directed,458
151,1749,Directed,459
151,1618,Directed,460
151,273,Directed,461
151,266,Directed,462
151,1286,Directed,463
151,228,Directed,464
151,448,Directed,465
151,1594,Directed,466
151,1557,Directed,467
151,1556,Directed,468
151,1271,Directed,469
151,1266,Directed,470
151,469,Directed,471
151,1649,Directed,472
151,310,Directed,473
151,1263,Directed,474
151,1654,Directed,475
151,743,Directed,476
151,1646,Directed,477
151,1013,Directed,478
151,1571,Directed,479
151,698,Directed,480
151,1470,Directed,481
151,912,Directed,482
151,877,Directed,483
151,333,Directed,484
151,1202,Directed,485
151,1724,Directed,486
151,1386,Directed,487
151,1607,Directed,488
151,1417,Directed,489
151,1602,Directed,490
151,1563,Directed,491
151,1598,Directed,492
151,122,Directed,493
151,936,Directed,494
151,1621,Directed,495
151,1569,Directed,496
151,1211,Directed,497
151,1330,Directed,498
151,1210,Directed,499
151,1622,Directed,500
151,595,Directed,501
151,1065,Directed,502
152,1596,Directed,503
154,635,Directed,504
154,61,Directed,505
154,95,Directed,506
154,155,Directed,507
154,190,Directed,508
154,588,Directed,509
154,1032,Directed,510
154,1451,Directed,511
154,1508,Directed,512
154,362,Directed,513
154,601,Directed,514
154,592,Directed,515
154,551,Directed,516
155,61,Directed,517
155,95,Directed,518
155,154,Directed,519
155,190,Directed,520
155,635,Directed,521
156,344,Directed,522
156,40,Directed,523
156,1602,Directed,524
156,1607,Directed,525
156,733,Directed,526
156,872,Directed,527
156,429,Directed,528
156,213,Directed,529
156,743,Directed,530
156,741,Directed,531
156,1603,Directed,532
156,424,Directed,533
156,435,Directed,534
156,52,Directed,535
156,493,Directed,536
156,324,Directed,537
156,1191,Directed,538
156,926,Directed,539
156,922,Directed,540
156,304,Directed,541
156,996,Directed,542
156,739,Directed,543
156,931,Directed,544
156,790,Directed,545
156,1684,Directed,546
156,747,Directed,547
156,1065,Directed,548
156,1314,Directed,549
156,632,Directed,550
156,1580,Directed,551
156,1259,Directed,552
156,745,Directed,553
157,1381,Directed,554
157,164,Directed,555
157,973,Directed,556
160,577,Directed,557
160,1024,Directed,558
160,1027,Directed,559
162,1381,Directed,560
162,747,Directed,561
162,996,Directed,562
162,1580,Directed,563
162,450,Directed,564
162,164,Directed,565
162,1089,Directed,566
162,24,Directed,567
162,1685,Directed,568
162,1281,Directed,569
162,618,Directed,570
162,1314,Directed,571
163,415,Directed,572
163,1037,Directed,573
163,1280,Directed,574
163,416,Directed,575
163,1403,Directed,576
163,1262,Directed,577
163,417,Directed,578
163,643,Directed,579
163,409,Directed,580
163,722,Directed,581
163,460,Directed,582
163,568,Directed,583
163,693,Directed,584
163,256,Directed,585
163,1247,Directed,586
163,459,Directed,587
163,1477,Directed,588
163,1118,Directed,589
163,478,Directed,590
163,673,Directed,591
163,148,Directed,592
163,312,Directed,593
164,4,Directed,594
164,235,Directed,595
164,730,Directed,596
164,500,Directed,597
164,1380,Directed,598
164,460,Directed,599
164,973,Directed,600
164,1685,Directed,601
164,716,Directed,602
164,258,Directed,603
164,1686,Directed,604
164,906,Directed,605
164,1720,Directed,606
164,45,Directed,607
164,997,Directed,608
164,236,Directed,609
164,1089,Directed,610
164,1056,Directed,611
166,1621,Directed,612
166,747,Directed,613
166,149,Directed,614
166,1314,Directed,615
166,1328,Directed,616
168,839,Directed,617
174,97,Directed,618
174,66,Directed,619
174,845,Directed,620
174,176,Directed,621
175,1094,Directed,622
175,1200,Directed,623
176,66,Directed,624
176,97,Directed,625
176,105,Directed,626
176,68,Directed,627
176,71,Directed,628
176,109,Directed,629
176,1202,Directed,630
176,174,Directed,631
177,1704,Directed,632
180,747,Directed,633
180,1328,Directed,634
180,166,Directed,635
180,460,Directed,636
180,1406,Directed,637
180,1621,Directed,638
181,182,Directed,639
181,1158,Directed,640
181,874,Directed,641
181,490,Directed,642
181,649,Directed,643
181,551,Directed,644
181,816,Directed,645
182,1560,Directed,646
182,1542,Directed,647
182,918,Directed,648
182,243,Directed,649
182,953,Directed,650
182,652,Directed,651
182,551,Directed,652
183,1516,Directed,653
183,1343,Directed,654
183,1486,Directed,655
183,104,Directed,656
183,592,Directed,657
183,1026,Directed,658
183,1224,Directed,659
183,1025,Directed,660
183,1708,Directed,661
183,1504,Directed,662
183,1465,Directed,663
183,1313,Directed,664
183,1045,Directed,665
183,1021,Directed,666
183,937,Directed,667
183,365,Directed,668
183,1024,Directed,669
183,510,Directed,670
189,636,Directed,671
189,925,Directed,672
189,39,Directed,673
189,1657,Directed,674
189,1225,Directed,675
189,343,Directed,676
189,825,Directed,677
189,793,Directed,678
189,60,Directed,679
189,188,Directed,680
190,61,Directed,681
190,635,Directed,682
190,95,Directed,683
190,155,Directed,684
190,154,Directed,685
190,1426,Directed,686
191,451,Directed,687
194,1571,Directed,688
194,1542,Directed,689
195,1275,Directed,690
195,632,Directed,691
201,534,Directed,692
201,488,Directed,693
201,1532,Directed,694
201,1570,Directed,695
201,1698,Directed,696
201,1697,Directed,697
201,477,Directed,698
201,981,Directed,699
201,225,Directed,700
203,1214,Directed,701
203,588,Directed,702
203,1451,Directed,703
203,630,Directed,704
203,1313,Directed,705
203,1542,Directed,706
203,601,Directed,707
203,960,Directed,708
203,946,Directed,709
203,76,Directed,710
203,698,Directed,711
203,649,Directed,712
203,652,Directed,713
203,816,Directed,714
203,243,Directed,715
203,1446,Directed,716
203,1704,Directed,717
203,1244,Directed,718
203,242,Directed,719
203,1067,Directed,720
203,715,Directed,721
203,696,Directed,722
203,579,Directed,723
203,1465,Directed,724
203,132,Directed,725
206,1650,Directed,726
206,715,Directed,727
206,242,Directed,728
206,1562,Directed,729
206,279,Directed,730
206,1553,Directed,731
206,1645,Directed,732
206,1521,Directed,733
206,936,Directed,734
206,1439,Directed,735
206,1563,Directed,736
206,1550,Directed,737
206,1244,Directed,738
206,1541,Directed,739
206,1511,Directed,740
206,1497,Directed,741
206,930,Directed,742
206,1580,Directed,743
206,481,Directed,744
206,1476,Directed,745
206,736,Directed,746
206,983,Directed,747
206,971,Directed,748
206,1168,Directed,749
207,1434,Directed,750
207,358,Directed,751
208,344,Directed,752
208,988,Directed,753
208,1704,Directed,754
208,1588,Directed,755
208,1570,Directed,756
208,1589,Directed,757
208,1602,Directed,758
208,1580,Directed,759
208,1603,Directed,760
208,746,Directed,761
208,743,Directed,762
208,1351,Directed,763
208,947,Directed,764
208,423,Directed,765
209,1407,Directed,766
209,1386,Directed,767
209,1250,Directed,768
209,1012,Directed,769
209,1104,Directed,770
209,1730,Directed,771
209,1728,Directed,772
209,1430,Directed,773
209,314,Directed,774
209,1157,Directed,775
209,947,Directed,776
209,1202,Directed,777
209,1158,Directed,778
209,639,Directed,779
209,1206,Directed,780
209,326,Directed,781
209,276,Directed,782
209,294,Directed,783
209,1084,Directed,784
209,1080,Directed,785
209,289,Directed,786
209,1092,Directed,787
209,565,Directed,788
209,1180,Directed,789
209,1724,Directed,790
209,212,Directed,791
209,1042,Directed,792
211,1012,Directed,793
213,429,Directed,794
213,435,Directed,795
213,424,Directed,796
214,477,Directed,797
214,488,Directed,798
214,201,Directed,799
214,512,Directed,800
214,464,Directed,801
214,1467,Directed,802
214,796,Directed,803
214,948,Directed,804
214,1270,Directed,805
214,225,Directed,806
214,922,Directed,807
214,981,Directed,808
214,1570,Directed,809
214,746,Directed,810
214,1580,Directed,811
214,741,Directed,812
214,1602,Directed,813
214,862,Directed,814
214,535,Directed,815
215,396,Directed,816
215,1232,Directed,817
216,1180,Directed,818
216,223,Directed,819
217,739,Directed,820
217,324,Directed,821
217,497,Directed,822
217,1197,Directed,823
217,1466,Directed,824
217,344,Directed,825
217,838,Directed,826
217,440,Directed,827
217,1698,Directed,828
217,252,Directed,829
217,277,Directed,830
218,920,Directed,831
218,1611,Directed,832
218,289,Directed,833
218,294,Directed,834
219,1609,Directed,835
219,1618,Directed,836
219,1585,Directed,837
221,481,Directed,838
222,344,Directed,839
222,845,Directed,840
222,1292,Directed,841
222,1065,Directed,842
222,897,Directed,843
222,1217,Directed,844
222,1602,Directed,845
223,495,Directed,846
224,1247,Directed,847
224,1293,Directed,848
224,1383,Directed,849
225,344,Directed,850
225,1064,Directed,851
225,1259,Directed,852
225,948,Directed,853
225,845,Directed,854
225,1602,Directed,855
225,1292,Directed,856
225,706,Directed,857
225,964,Directed,858
225,959,Directed,859
225,423,Directed,860
225,947,Directed,861
225,988,Directed,862
225,1159,Directed,863
225,1089,Directed,864
225,1607,Directed,865
225,1603,Directed,866
225,1704,Directed,867
225,1570,Directed,868
225,941,Directed,869
225,1065,Directed,870
225,222,Directed,871
225,981,Directed,872
225,1588,Directed,873
225,743,Directed,874
225,709,Directed,875
226,831,Directed,876
226,52,Directed,877
226,1660,Directed,878
226,888,Directed,879
226,1260,Directed,880
226,861,Directed,881
226,669,Directed,882
226,1671,Directed,883
226,232,Directed,884
226,493,Directed,885
227,314,Directed,886
227,1728,Directed,887
227,1430,Directed,888
227,1730,Directed,889
228,98,Directed,890
228,1232,Directed,891
228,1250,Directed,892
228,826,Directed,893
228,1656,Directed,894
228,1556,Directed,895
228,1316,Directed,896
228,1333,Directed,897
228,1301,Directed,898
228,1749,Directed,899
228,1307,Directed,900
228,1286,Directed,901
228,1557,Directed,902
228,1271,Directed,903
228,1266,Directed,904
228,1263,Directed,905
228,1649,Directed,906
228,310,Directed,907
231,1383,Directed,908
231,412,Directed,909
231,747,Directed,910
232,1065,Directed,911
232,344,Directed,912
232,386,Directed,913
232,369,Directed,914
232,1684,Directed,915
232,1660,Directed,916
232,1276,Directed,917
234,743,Directed,918
234,52,Directed,919
234,745,Directed,920
234,493,Directed,921
235,566,Directed,922
235,1136,Directed,923
235,1328,Directed,924
235,236,Directed,925
235,693,Directed,926
235,730,Directed,927
235,460,Directed,928
235,1685,Directed,929
235,1197,Directed,930
235,716,Directed,931
235,643,Directed,932
235,1720,Directed,933
235,1621,Directed,934
235,1408,Directed,935
235,164,Directed,936
235,1381,Directed,937
235,428,Directed,938
235,1089,Directed,939
235,1134,Directed,940
235,409,Directed,941
235,1293,Directed,942
235,906,Directed,943
235,45,Directed,944
235,997,Directed,945
235,237,Directed,946
235,1101,Directed,947
235,456,Directed,948
235,258,Directed,949
235,1412,Directed,950
235,1403,Directed,951
235,404,Directed,952
235,1314,Directed,953
235,1056,Directed,954
235,747,Directed,955
235,1404,Directed,956
235,1247,Directed,957
235,413,Directed,958
236,237,Directed,959
236,307,Directed,960
236,1665,Directed,961
236,1588,Directed,962
237,1309,Directed,963
237,236,Directed,964
237,1134,Directed,965
237,1408,Directed,966
237,747,Directed,967
237,460,Directed,968
237,693,Directed,969
237,234,Directed,970
237,866,Directed,971
237,1653,Directed,972
237,1056,Directed,973
237,1089,Directed,974
237,1720,Directed,975
237,568,Directed,976
237,1293,Directed,977
237,1166,Directed,978
237,1247,Directed,979
238,1214,Directed,980
238,1516,Directed,981
238,635,Directed,982
238,243,Directed,983
238,816,Directed,984
238,811,Directed,985
238,612,Directed,986
238,306,Directed,987
238,563,Directed,988
238,1313,Directed,989
238,630,Directed,990
238,542,Directed,991
238,61,Directed,992
238,1560,Directed,993
238,551,Directed,994
238,1451,Directed,995
238,588,Directed,996
238,1664,Directed,997
238,818,Directed,998
238,1032,Directed,999
239,795,Directed,1000
242,1352,Directed,1001
242,1521,Directed,1002
242,1551,Directed,1003
242,639,Directed,1004
242,1158,Directed,1005
242,930,Directed,1006
242,811,Directed,1007
242,736,Directed,1008
242,1645,Directed,1009
242,506,Directed,1010
242,936,Directed,1011
242,1703,Directed,1012
242,1661,Directed,1013
242,1480,Directed,1014
242,1727,Directed,1015
242,1168,Directed,1016
242,1076,Directed,1017
242,1067,Directed,1018
242,983,Directed,1019
242,971,Directed,1020
242,977,Directed,1021
242,715,Directed,1022
242,696,Directed,1023
242,669,Directed,1024
242,206,Directed,1025
242,1653,Directed,1026
242,1650,Directed,1027
242,1511,Directed,1028
242,1497,Directed,1029
242,1439,Directed,1030
242,1244,Directed,1031
242,1103,Directed,1032
242,1030,Directed,1033
242,987,Directed,1034
242,1598,Directed,1035
242,646,Directed,1036
242,753,Directed,1037
242,377,Directed,1038
242,1571,Directed,1039
242,1563,Directed,1040
242,1541,Directed,1041
242,1553,Directed,1042
242,1550,Directed,1043
242,490,Directed,1044
242,1476,Directed,1045
242,48,Directed,1046
242,1601,Directed,1047
243,634,Directed,1048
243,960,Directed,1049
243,1542,Directed,1050
243,203,Directed,1051
243,596,Directed,1052
243,698,Directed,1053
243,242,Directed,1054
243,649,Directed,1055
243,639,Directed,1056
243,408,Directed,1057
243,988,Directed,1058
243,1250,Directed,1059
243,1104,Directed,1060
243,281,Directed,1061
243,238,Directed,1062
244,1486,Directed,1063
248,1002,Directed,1064
248,460,Directed,1065
248,256,Directed,1066
248,413,Directed,1067
248,415,Directed,1068
249,426,Directed,1069
249,451,Directed,1070
249,1261,Directed,1071
251,1013,Directed,1072
251,451,Directed,1073
251,1261,Directed,1074
251,811,Directed,1075
251,460,Directed,1076
251,426,Directed,1077
253,1566,Directed,1078
257,332,Directed,1079
257,389,Directed,1080
257,218,Directed,1081
257,580,Directed,1082
257,1611,Directed,1083
257,1610,Directed,1084
257,1240,Directed,1085
257,255,Directed,1086
257,1206,Directed,1087
257,294,Directed,1088
257,1092,Directed,1089
257,289,Directed,1090
258,773,Directed,1091
258,1089,Directed,1092
258,485,Directed,1093
258,1602,Directed,1094
258,994,Directed,1095
258,500,Directed,1096
258,1720,Directed,1097
258,164,Directed,1098
258,862,Directed,1099
258,45,Directed,1100
258,52,Directed,1101
258,716,Directed,1102
258,566,Directed,1103
258,590,Directed,1104
258,498,Directed,1105
258,1704,Directed,1106
258,1067,Directed,1107
258,831,Directed,1108
258,1281,Directed,1109
264,598,Directed,1110
264,235,Directed,1111
264,1381,Directed,1112
265,680,Directed,1113
266,1626,Directed,1114
266,909,Directed,1115
266,1158,Directed,1116
266,1594,Directed,1117
266,151,Directed,1118
267,1232,Directed,1119
269,547,Directed,1120
269,57,Directed,1121
269,1560,Directed,1122
269,551,Directed,1123
271,1182,Directed,1124
273,266,Directed,1125
273,1594,Directed,1126
273,1632,Directed,1127
273,1588,Directed,1128
273,1655,Directed,1129
273,267,Directed,1130
273,275,Directed,1131
273,1649,Directed,1132
273,274,Directed,1133
275,19,Directed,1134
277,1368,Directed,1135
277,1466,Directed,1136
277,1589,Directed,1137
277,1704,Directed,1138
277,978,Directed,1139
279,715,Directed,1140
279,1157,Directed,1141
279,206,Directed,1142
279,1069,Directed,1143
279,1003,Directed,1144
279,1661,Directed,1145
279,1553,Directed,1146
279,1476,Directed,1147
279,977,Directed,1148
279,1422,Directed,1149
279,936,Directed,1150
279,1645,Directed,1151
279,1653,Directed,1152
279,1284,Directed,1153
286,1015,Directed,1154
286,592,Directed,1155
286,791,Directed,1156
286,1045,Directed,1157
288,746,Directed,1158
288,743,Directed,1159
288,741,Directed,1160
288,1607,Directed,1161
288,1602,Directed,1162
288,1603,Directed,1163
288,156,Directed,1164
288,888,Directed,1165
288,922,Directed,1166
288,1660,Directed,1167
288,947,Directed,1168
288,676,Directed,1169
288,959,Directed,1170
289,1611,Directed,1171
290,221,Directed,1172
291,1611,Directed,1173
299,520,Directed,1174
301,1703,Directed,1175
301,1749,Directed,1176
301,1704,Directed,1177
301,1182,Directed,1178
301,909,Directed,1179
302,639,Directed,1180
302,1202,Directed,1181
302,321,Directed,1182
302,657,Directed,1183
302,344,Directed,1184
303,1461,Directed,1185
303,666,Directed,1186
303,1075,Directed,1187
303,1429,Directed,1188
303,333,Directed,1189
303,1144,Directed,1190
303,79,Directed,1191
303,1739,Directed,1192
303,1203,Directed,1193
303,397,Directed,1194
306,1202,Directed,1195
306,563,Directed,1196
306,409,Directed,1197
306,1304,Directed,1198
307,485,Directed,1199
307,1665,Directed,1200
308,333,Directed,1201
308,330,Directed,1202
308,1614,Directed,1203
308,814,Directed,1204
308,319,Directed,1205
308,1631,Directed,1206
308,1485,Directed,1207
308,1438,Directed,1208
308,1331,Directed,1209
308,1669,Directed,1210
308,1169,Directed,1211
308,764,Directed,1212
310,682,Directed,1213
310,1622,Directed,1214
310,1591,Directed,1215
310,995,Directed,1216
310,1030,Directed,1217
310,1244,Directed,1218
310,1563,Directed,1219
310,1562,Directed,1220
310,1614,Directed,1221
310,1250,Directed,1222
312,554,Directed,1233
312,673,Directed,1234
312,1089,Directed,1235
312,1247,Directed,1236
312,460,Directed,1237
312,456,Directed,1238
312,1293,Directed,1239
312,766,Directed,1240
312,1254,Directed,1241
313,1571,Directed,1242
313,274,Directed,1243
313,1589,Directed,1244
313,981,Directed,1245
313,333,Directed,1246
313,1485,Directed,1247
313,1438,Directed,1248
313,1581,Directed,1249
313,1631,Directed,1250
313,398,Directed,1251
313,1616,Directed,1252
313,1554,Directed,1253
313,1559,Directed,1254
313,1615,Directed,1255
313,1614,Directed,1256
313,1373,Directed,1257
313,1169,Directed,1258
313,1114,Directed,1259
313,1584,Directed,1260
313,1617,Directed,1261
313,1669,Directed,1262
313,347,Directed,1263
313,319,Directed,1264
314,316,Directed,1265
314,1042,Directed,1266
314,481,Directed,1267
314,221,Directed,1268
314,212,Directed,1269
314,1386,Directed,1270
314,227,Directed,1271
314,318,Directed,1272
314,1080,Directed,1273
314,291,Directed,1274
314,1611,Directed,1275
314,289,Directed,1276
314,1728,Directed,1277
314,1430,Directed,1278
314,1730,Directed,1279
314,396,Directed,1280
316,314,Directed,1281
319,397,Directed,1282
319,1554,Directed,1283
319,1373,Directed,1284
319,119,Directed,1285
319,342,Directed,1286
319,1617,Directed,1287
319,1331,Directed,1288
319,1631,Directed,1289
319,1584,Directed,1290
319,1581,Directed,1291
319,1559,Directed,1292
319,1485,Directed,1293
319,1614,Directed,1294
319,1169,Directed,1295
319,1438,Directed,1296
319,313,Directed,1297
319,1203,Directed,1298
319,333,Directed,1299
319,533,Directed,1300
321,639,Directed,1301
321,1659,Directed,1302
321,1209,Directed,1303
321,358,Directed,1304
321,1185,Directed,1305
321,1483,Directed,1306
321,300,Directed,1307
321,735,Directed,1308
321,369,Directed,1309
321,339,Directed,1310
324,743,Directed,1311
324,739,Directed,1312
324,156,Directed,1313
324,288,Directed,1314
