Label,anomalous,neighbor,clustering,degree,closeness,betweenness,community,density,in,out,bi
405,1,92,0.36001,0.075348,0.440794,0.002128,1,0.17636,0.925532,0.074468,0.021277
410,1,38,0.405405,0.031122,0.391723,0.000358,1,0.048447,0.076923,0.923077,0.025641
446,1,35,0.415126,0.028665,0.38204,0.000147,1,0.123711,0.916667,0.083333,0.027778
454,1,149,0.195084,0.122031,0.446598,0.0273,1,0.321942,0.217877,0.782123,0.167598
469,1,64,0.361607,0.052416,0.432672,0.00111,1,0.126866,0.073529,0.926471,0.058824
479,1,36,0.373016,0.029484,0.424106,0.000578,1,0.791667,0.131579,0.868421,0.052632
483,1,122,0.19225,0.099918,0.456108,0.009457,1,0.579909,0.92126,0.07874,0.03937
493,1,144,0.261849,0.117936,0.448567,0.007638,1,0.251101,0.719298,0.280702,0.157895
501,1,31,0.294624,0.025389,0.416866,0.001189,1,0.11745,0.142857,0.857143,0.114286
508,1,47,0.183164,0.038493,0.405244,0.005904,1,0.791667,0.175439,0.824561,0.175439
512,1,137,0.277372,0.112203,0.453566,0.012921,1,3.282609,0.13245,0.86755,0.092715
515,1,34,0.306595,0.027846,0.447089,0.003341,1,0.103343,0.088235,0.911765,0
519,1,39,0.209177,0.031941,0.405513,0.001244,1,0.045359,0.883721,0.116279,0.093023
524,1,111,0.293202,0.090909,0.446598,0.004588,1,0.194444,0.134921,0.865079,0.119048
536,1,36,0.557143,0.029484,0.387989,0.000082,1,0.145455,0.175,0.825,0.1
544,1,26,0.227692,0.021294,0.410973,0.001822,1,0.5625,0.888889,0.111111,0.037037
553,1,5,,0.004095,0.313801,0.00002,1,0.033113,0.4,0.6,0
556,1,37,0.513514,0.030303,0.383359,0.000316,1,0.100515,0.153846,0.846154,0.051282
559,1,49,0.361395,0.040131,0.419732,0.002272,1,0.132701,0.125,0.875,0.125
563,1,79,0.435248,0.064701,0.418008,0.000581,1,1.77551,0.862069,0.137931,0.091954
564,1,73,0.122527,0.059787,0.396557,0.006934,1,1.785714,0.96,0.04,0.026667
568,1,85,0.159104,0.069615,0.413898,0.006965,1,0.111529,0.067416,0.932584,0.044944
572,1,33,0.270833,0.027027,0.359965,0.000246,1,0.120521,0.891892,0.108108,0.108108
573,1,29,0.55665,0.023751,0.384931,0.000076,1,0.061657,0.09375,0.90625,0.09375
577,1,44,0.557082,0.036036,0.386637,0.000159,1,0.064865,0.8125,0.1875,0.083333
591,1,80,0.380063,0.06552,0.405648,0.001404,1,0.197674,0.882353,0.117647,0.058824
602,1,26,0.366154,0.021294,0.419443,0.000507,1,0.037634,0.142857,0.857143,0.071429
610,1,25,0.4,0.020475,0.430688,0.000393,1,0.153846,0.076923,0.923077,0.038462
612,1,71,0.400805,0.058149,0.408088,0.002352,1,0.208672,0.077922,0.922078,0.077922
618,1,94,0.405399,0.076986,0.417864,0.000948,1,0.291291,0.030928,0.969072,0.030928
620,1,39,0.519568,0.031941,0.395402,0.000154,1,0.101655,0.093023,0.906977,0.093023
623,1,71,0.387525,0.058149,0.412639,0.000929,1,0.139241,0.818182,0.181818,0.077922
631,1,35,0.405042,0.028665,0.426774,0.000483,1,0.145098,0.054054,0.945946,0.054054
634,1,69,0.401961,0.056511,0.406323,0.000715,1,0.123128,0.824324,0.175676,0.067568
641,1,274,0.114382,0.224406,0.50309,0.047669,1,4.147059,0.950355,0.049645,0.028369
642,1,147,0.224024,0.120393,0.467816,0.012136,1,0.261789,0.869565,0.130435,0.086957
647,1,32,0.274194,0.026208,0.408498,0.000967,1,0.053398,0.030303,0.969697,0.030303
650,1,68,0.40518,0.055692,0.400328,0.00108,1,0.348259,0.842857,0.157143,0.028571
677,1,33,0.359848,0.027027,0.393363,0.000691,1,0.065455,0.888889,0.111111,0.083333
687,1,104,0.237491,0.085176,0.427671,0.005468,1,0.569892,0.981132,0.018868,0.018868
688,1,39,0.414305,0.031941,0.416014,0.000876,1,0.052133,0.136364,0.863636,0.113636
693,1,40,0.45,0.03276,0.389101,0.000515,1,0.075972,0.860465,0.139535,0.069767
699,1,62,0.399788,0.050778,0.400066,0.001227,1,0.233677,0.088235,0.911765,0.088235
712,1,59,0.434833,0.048321,0.421616,0.000517,1,0.166667,0.881356,0.118644,0
729,1,218,0.161629,0.178542,0.490165,0.027744,1,1.036437,0.785156,0.214844,0.148438
741,1,125,0.136,0.102375,0.465498,0.018487,1,0.501946,0.868217,0.131783,0.031008
743,1,26,0.513846,0.021294,0.394762,0.000144,1,0.090604,0.148148,0.851852,0.037037
755,1,40,0.520513,0.03276,0.413618,0.00028,1,0.096927,0.02439,0.97561,0.02439
756,1,133,0.217931,0.108927,0.458678,0.007781,1,0.196379,0.907801,0.092199,0.056738
765,1,75,0.270631,0.061425,0.469254,0.004006,1,0.130872,0.051282,0.948718,0.038462
777,1,48,0.27305,0.039312,0.425139,0.001107,1,0.067949,0.169811,0.830189,0.09434
782,1,40,0.287179,0.03276,0.413198,0.001954,1,0.074703,0.818182,0.181818,0.090909
787,1,30,0.241379,0.02457,0.40377,0.000357,1,0.20442,0.189189,0.810811,0.189189
788,1,32,0.407258,0.026208,0.414179,0.000325,1,1.133333,0.117647,0.882353,0.058824
792,1,34,0.196078,0.027846,0.371803,0.000286,1,2.125,0.941176,0.058824,0
802,1,36,0.112698,0.029484,0.377434,0.002158,1,1.565217,0.944444,0.055556,0
806,1,30,0.31954,0.02457,0.412221,0.000375,1,0.189944,0.176471,0.823529,0.117647
807,1,34,0.327986,0.027846,0.419732,0.000557,1,0.056634,0.057143,0.942857,0.028571
810,1,75,0.238198,0.061425,0.420744,0.001958,1,0.404255,0.986842,0.013158,0.013158
816,1,50,0.306939,0.04095,0.404841,0.000555,1,0.080409,0.109091,0.890909,0.090909
817,1,50,0.239184,0.04095,0.396429,0.000755,1,0.105263,0.851852,0.148148,0.074074
830,1,35,0.315966,0.028665,0.402704,0.000272,1,0.044848,0.810811,0.189189,0.054054
851,1,55,0.196633,0.045045,0.414039,0.002473,1,1.347826,0.16129,0.83871,0.112903
852,1,43,0.30454,0.035217,0.414601,0.000604,1,0.05379,0.022727,0.977273,0.022727
854,1,44,0.081395,0.036036,0.381324,0.003039,1,0.068285,0.955556,0.044444,0.022222
855,1,301,0.049612,0.246519,0.478448,0.098009,1,0.482937,0.45182,0.54818,0.35546
862,1,27,0.14245,0.022113,0.370224,0.000302,1,0.057143,0.964286,0.035714,0.035714
878,1,128,0.172859,0.104832,0.474175,0.006782,1,0.277328,0.883212,0.116788,0.065693
880,1,129,0.178173,0.105651,0.46373,0.010337,1,0.266917,0.133803,0.866197,0.091549
883,1,38,0.327169,0.031122,0.39759,0.000228,1,0.091503,0.857143,0.142857,0.095238
885,1,72,0.237089,0.058968,0.440476,0.002262,1,0.293233,0.833333,0.166667,0.076923
900,1,88,0.249216,0.072072,0.431296,0.002792,1,0.989583,0.084211,0.915789,0.073684
908,1,40,0.14359,0.03276,0.386392,0.000815,1,1.666667,0.975,0.025,0
909,1,39,0.338731,0.031941,0.416155,0.000412,1,0.084778,0.113636,0.886364,0.113636
921,1,29,0.295567,0.023751,0.407407,0.000345,1,0.03886,0.033333,0.966667,0.033333
927,1,56,0.276623,0.045864,0.464789,0.002323,1,0.346591,0.131148,0.868852,0.081967
932,1,45,0.29798,0.036855,0.418437,0.000761,1,0.101545,0.891304,0.108696,0.021739
934,1,39,0.288799,0.031941,0.437008,0.001363,1,0.08156,0.173913,0.826087,0.152174
935,1,104,0.21994,0.085176,0.467458,0.008342,1,0.228457,0.157895,0.842105,0.087719
941,1,91,0.21221,0.074529,0.425881,0.002777,1,0.166084,0.915789,0.084211,0.042105
943,1,42,0.228804,0.034398,0.444809,0.001416,1,0.340741,0.130435,0.869565,0.086957
944,1,53,0.238026,0.043407,0.403636,0.001396,1,0.141439,0.877193,0.122807,0.070175
952,1,56,0.142208,0.045864,0.382519,0.000457,1,0.125843,0.910714,0.089286,0
953,1,71,0.298189,0.058149,0.434365,0.001289,1,0.111111,0.113924,0.886076,0.101266
961,1,59,0.26242,0.048321,0.415447,0.000761,1,0.124506,0.888889,0.111111,0.063492
963,1,243,0.038125,0.199017,0.485101,0.068247,1,0.524838,0.979424,0.020576,0
971,1,47,0.263645,0.038493,0.388977,0.001549,1,0.099404,0.88,0.12,0.06
1000,1,123,0.069705,0.100737,0.405918,0.008868,1,0.241419,0.478673,0.521327,0.417062
1008,1,71,0.093763,0.058149,0.402306,0.002252,1,0.103352,0.932432,0.067568,0.040541
1021,1,48,0.176418,0.039312,0.415024,0.005056,1,0.923077,0.895833,0.104167,0
1031,1,30,0.441379,0.02457,0.447581,0.0005,1,0.041078,0.09375,0.90625,0.0625
1041,1,182,0.16526,0.149058,0.476767,0.014467,1,0.231959,0.697778,0.302222,0.191111
1045,1,85,0.192717,0.069615,0.425732,0.003406,1,0.118121,0.875,0.125,0.034091
1051,1,306,0.108947,0.250614,0.519353,0.049596,1,0.731313,0.762431,0.237569,0.154696
1054,1,44,0.298097,0.036036,0.421907,0.002436,1,1.88,0.085106,0.914894,0.06383
1061,1,33,0.4375,0.027027,0.414039,0.000311,1,0.063521,0.057143,0.942857,0.057143
1069,1,49,0.151361,0.040131,0.382879,0.00073,1,0.083056,0.94,0.06,0.02
1088,1,26,0.4,0.021294,0.408498,0.000153,1,0.055357,0.16129,0.83871,0.16129
1095,1,41,0.260976,0.033579,0.393871,0.002114,1,0.105528,0.928571,0.071429,0.02381
1101,1,170,0.155517,0.13923,0.473991,0.017759,1,0.402957,0.481651,0.518349,0.220183
1103,1,50,0.299592,0.04095,0.411527,0.000736,1,0.2,0.109091,0.890909,0.090909
1104,1,43,0.331118,0.035217,0.457646,0.001526,1,0.064426,0.130435,0.869565,0.065217
1108,1,63,0.164363,0.051597,0.425732,0.003411,1,0.126812,0.142857,0.857143,0.1
1112,1,196,0.137049,0.160524,0.494532,0.024184,1,0.245283,0.870192,0.129808,0.057692
1121,1,60,0.20565,0.04914,0.404841,0.00096,1,2.904762,0.934426,0.065574,0.016393
1125,1,43,0.253599,0.035217,0.451553,0.001286,1,0.066378,0.065217,0.934783,0.065217
1131,1,67,0.164631,0.054873,0.395658,0.003582,1,22.666667,0.014706,0.985294,0.014706
1135,1,89,0.248212,0.072891,0.431601,0.003553,1,0.316993,0.113402,0.886598,0.082474
1153,1,211,0.109817,0.172809,0.48414,0.027795,1,0.381271,0.877193,0.122807,0.074561
1155,1,5,,0.004095,0.351064,0.000015,1,0.012531,0,1,0
1159,1,27,0.065527,0.022113,0.355769,0.002268,1,0.068796,0.964286,0.035714,0.035714
1161,1,43,0.392027,0.035217,0.419299,0.000303,1,0.052874,0.108696,0.891304,0.065217
1162,1,45,0.327273,0.036855,0.439841,0.001702,1,0.08547,0.12,0.88,0.1
1177,1,68,0.272169,0.055692,0.42337,0.002529,1,1.065789,0.185185,0.814815,0.160494
1179,1,138,0.138475,0.113022,0.470158,0.012823,1,0.37467,0.950704,0.049296,0.028169
1187,1,54,0.261356,0.044226,0.419299,0.001332,1,0.156757,0.086207,0.913793,0.068966
1195,1,36,0.342857,0.029484,0.405244,0.000349,1,0.056358,0.179487,0.820513,0.076923
1200,1,40,0.352564,0.03276,0.439367,0.002051,1,0.095672,0.071429,0.928571,0.047619
1202,1,29,0.315271,0.023751,0.441911,0.000945,1,0.041212,0.176471,0.823529,0.147059
1236,1,56,0.326623,0.045864,0.445295,0.001225,1,0.110487,0.067797,0.932203,0.050847
1245,1,223,0.106613,0.182637,0.474543,0.023734,1,0.311258,0.93617,0.06383,0.051064
1246,1,76,0.252982,0.062244,0.455937,0.002812,1,0.235457,0.141176,0.858824,0.105882
1251,1,38,0.159317,0.031122,0.383119,0.000481,1,0.237805,0.923077,0.076923,0.025641
1270,1,120,0.122129,0.09828,0.45072,0.014082,1,0.353623,0.959016,0.040984,0.016393
1293,1,33,0.100379,0.027027,0.361243,0.00028,1,0.19883,0.970588,0.029412,0.029412
1306,1,122,0.192657,0.099918,0.442231,0.005924,1,0.616162,0.97541,0.02459,0
1320,1,46,0.268599,0.037674,0.405918,0.002156,1,0.590909,0.153846,0.846154,0.115385
1321,1,34,0.210339,0.027846,0.403503,0.002792,1,0.05409,0.195122,0.804878,0.170732
1329,1,70,0.281159,0.05733,0.463378,0.003693,1,0.288538,0.054795,0.945205,0.041096
1330,1,114,0.120789,0.093366,0.428722,0.005283,1,0.159441,0.991228,0.008772,0
1333,1,25,0.43,0.020475,0.398109,0.000111,1,0.043406,0.038462,0.961538,0.038462
1337,1,41,0.291463,0.033579,0.395786,0.000299,1,0.089362,0.904762,0.095238,0.02381
1351,1,48,0.35195,0.039312,0.442231,0.00104,1,8.428571,0.186441,0.813559,0.186441
1362,1,33,0.36553,0.027027,0.416581,0.00055,1,0.059406,0.083333,0.916667,0.083333
1364,1,32,0.243952,0.026208,0.396557,0.001088,1,0.050847,0.138889,0.861111,0.111111
1384,1,105,0.19304,0.085995,0.427821,0.003539,1,0.163558,0.096491,0.903509,0.078947
1390,1,39,0.214575,0.031941,0.380374,0.000227,1,2.5625,0.878049,0.121951,0.04878
1399,1,36,0.296825,0.029484,0.390595,0.000237,1,0.770833,0.837838,0.162162,0.027027
1418,1,42,0.292683,0.034398,0.387127,0.000153,1,6.285714,0.909091,0.090909,0.045455
1437,1,199,0.081976,0.162981,0.481087,0.042235,1,0.836066,0.916667,0.083333,0.02451
1455,1,46,0.111111,0.037674,0.377902,0.002787,1,0.079723,0.978261,0.021739,0
1461,1,138,0.239183,0.113022,0.467816,0.006055,1,0.229839,0.614035,0.385965,0.192982
1463,1,116,0.204048,0.095004,0.445946,0.00537,1,0.190131,0.816794,0.183206,0.114504
1479,1,179,0.130438,0.146601,0.468354,0.019788,1,0.478166,0.630137,0.369863,0.182648
1482,1,47,0.357077,0.038493,0.412082,0.000354,1,0.518519,0.196429,0.803571,0.160714
1,0,26,0.403077,0.021294,0.403236,0.000366,1,0.033007,0.444444,0.555556,0.037037
5,0,4,0.166667,0.003276,0.348558,0.00006,0,0.006462,0.25,0.75,0
6,0,1,,0.000819,0.302827,0,1,0.013158,0,1,0
7,0,1,,0.000819,0.308801,0,1,0.002033,1,0,0
8,0,26,0.4,0.021294,0.370337,0.000372,1,0.06518,0.5,0.5,0.315789
9,0,8,0.428571,0.006552,0.382759,0.000119,1,0.032787,0,1,0
10,0,14,0.527473,0.011466,0.376387,0.000013,1,0.026224,0.066667,0.933333,0.066667
11,0,1,,0.000819,0.300369,0,1,0.013514,0,1,0
12,0,4,,0.003276,0.34658,0.000112,1,0.142857,0.25,0.75,0
13,0,57,0.380326,0.046683,0.413618,0.00119,1,0.086066,0.761905,0.238095,0.095238
14,0,68,0.459175,0.055692,0.447253,0.00117,1,0.380342,0.303371,0.696629,0.235955
15,0,61,0.30765,0.049959,0.403103,0.001791,1,0.087391,0.228571,0.771429,0.128571
16,0,47,0.482886,0.038493,0.422784,0.001061,1,0.106509,0.537037,0.462963,0.12963
17,0,2,,0.001638,0.321062,0.000056,1,0.006006,0.5,0.5,0
18,0,37,0.554054,0.030303,0.400197,0.000314,1,0.301887,0.395833,0.604167,0.229167
19,0,3,,0.002457,0.336735,0.000101,0,0.040816,0.25,0.75,0.25
20,0,13,0.435897,0.010647,0.379428,0.000033,1,0.032419,0,1,0
21,0,40,0.367949,0.03276,0.431296,0.00295,1,0.058608,0.208333,0.791667,0.166667
22,0,24,0.380435,0.019656,0.419876,0.000507,1,0.163522,0.269231,0.730769,0.076923
23,0,87,0.234162,0.071253,0.433286,0.006911,1,1.405797,0.701031,0.298969,0.103093
24,0,55,0.320755,0.045045,0.422491,0.001967,1,0.073325,0.586207,0.413793,0.068966
26,0,1,,0.000819,0.341634,0,1,0.025641,0,1,0
27,0,31,0.389247,0.025389,0.404439,0.000663,1,0.060034,0.628571,0.371429,0.114286
28,0,12,0.409091,0.009828,0.382639,0.000092,1,0.021016,0.166667,0.833333,0
29,0,48,0.324468,0.039312,0.391221,0.002448,1,0.097222,0.380952,0.619048,0.238095
30,0,1,,0.000819,0.259787,0,1,0.003344,1,0,0
31,0,64,0.394345,0.052416,0.423517,0.002324,1,0.133681,0.532468,0.467532,0.168831
32,0,6,0.466667,0.004914,0.394762,0.000063,1,0.014493,0.166667,0.833333,0
33,0,3,0.333333,0.002457,0.318966,0.000022,1,0.007538,0.666667,0.333333,0
34,0,5,0.1,0.004095,0.332788,0.000062,1,0.384615,0.4,0.6,0
36,0,11,0.581818,0.009009,0.384083,0.00015,1,0.211538,0.181818,0.818182,0
37,0,2,,0.001638,0.312756,0,1,0.003876,1,0,0
38,0,2,1,0.001638,0.309271,0,1,0.007653,0.666667,0.333333,0.333333
39,0,27,0.435897,0.022113,0.381443,0.000177,1,0.100372,1,0,0
40,0,97,0.367912,0.079443,0.44,0.005959,1,0.15302,0.22807,0.77193,0.149123
41,0,6,0.533333,0.004914,0.34346,0.000049,1,0.018824,0.25,0.75,0.25
42,0,15,0.580952,0.012285,0.38216,0.000035,1,0.016911,0.333333,0.666667,0
43,0,4,0.166667,0.003276,0.380848,0.000294,1,0.009756,0,1,0
44,0,1,,0.000819,0.288448,0,1,0.010417,1,0,0
45,0,7,0.190476,0.005733,0.329555,0.001693,1,0.013436,0.571429,0.428571,0
46,0,67,0.410674,0.054873,0.41042,0.002146,1,0.13936,0.283784,0.716216,0.094595
47,0,3,1,0.002457,0.342113,0,1,0.005871,0.666667,0.333333,0
51,0,1,,0.000819,0.289886,0,1,0.013158,1,0,0
52,0,1,,0.000819,0.282573,0,1,0.002597,1,0,0
53,0,8,0.357143,0.006552,0.34658,0.000018,1,0.011461,0.75,0.25,0
56,0,88,0.447753,0.072072,0.412221,0.000497,1,0.161468,0,1,0
58,0,4,0.333333,0.003276,0.347863,0.000055,1,0.008368,0,1,0
59,0,1,,0.000819,0.288448,0,1,0.006667,1,0,0
62,0,2,,0.001638,0.308957,0.000027,1,0.017857,1,0,0
64,0,7,0.142857,0.005733,0.367439,0.000122,1,0.017632,0.571429,0.428571,0
66,0,2,,0.001638,0.274938,0.000007,1,0.003906,0,1,0
67,0,2,1,0.001638,0.283229,0,1,0.002242,1,0,0
68,0,23,0.312253,0.018837,0.424253,0.000928,1,0.027778,0,1,0
69,0,2,,0.001638,0.33879,0.000002,1,0.004149,0,1,0
70,0,18,0.529412,0.014742,0.375924,0.000086,1,0.034884,0,1,0
72,0,118,0.355932,0.096642,0.432519,0.001787,1,0.319149,0.513333,0.486667,0.213333
73,0,13,0.564103,0.010647,0.368771,0.000012,1,0.019704,0.25,0.75,0.1875
75,0,99,0.318903,0.081081,0.430081,0.003479,1,0.240777,0.403226,0.596774,0.201613
76,0,3,,0.002457,0.334429,0.001646,0,0.006849,0.333333,0.666667,0
77,0,2,1,0.001638,0.346285,0,1,0.003656,0,1,0
78,0,23,0.075099,0.018837,0.358907,0.004055,1,0.18254,1,0,0
79,0,10,0.8,0.00819,0.360177,0.000007,1,0.027027,0.25,0.75,0.166667
80,0,6,0.133333,0.004914,0.385538,0.000414,1,0.029126,0,1,0
81,0,6,0.133333,0.004914,0.343267,0.002251,0,0.015267,0.333333,0.666667,0
83,0,1,,0.000819,0.291061,0,1,0.001536,1,0,0
84,0,7,0.619048,0.005733,0.392226,0.000034,1,0.014257,0,1,0
85,0,69,0.224211,0.056511,0.401645,0.0084,1,0.890244,0.780822,0.219178,0.054795
86,0,3,,0.002457,0.315015,0.000012,1,0.005587,1,0,0
87,0,11,0.672727,0.009009,0.385782,0.00006,1,0.028319,0.3125,0.6875,0.3125
89,0,61,0.372131,0.049959,0.438735,0.003123,1,0.124172,0.653333,0.346667,0.186667
92,0,4,0.166667,0.003276,0.34826,0.000056,1,0.024845,0.25,0.75,0
93,0,4,0.333333,0.003276,0.358696,0.000031,1,0.042553,0,1,0
95,0,7,0.52381,0.005733,0.333515,0.000004,1,0.008495,0.285714,0.714286,0
96,0,15,0.028571,0.012285,0.347764,0.002033,1,0.535714,1,0,0
97,0,7,0.571429,0.005733,0.339922,0.000006,1,0.011725,0.857143,0.142857,0
98,0,5,0.5,0.004095,0.357018,0.00009,1,0.034722,0.2,0.8,0
103,0,6,0.266667,0.004914,0.319466,0.000012,1,0.023166,0,1,0
104,0,1,,0.000819,0.276432,0,1,0.00266,1,0,0
105,0,2,,0.001638,0.273644,0.000001,1,0.004866,1,0,0
106,0,1,,0.000819,0.273093,0,1,0.00137,1,0,0
107,0,3,0.333333,0.002457,0.324475,0,1,0.007212,1,0,0
109,0,43,0.479513,0.035217,0.400328,0.000516,1,0.073134,0.244898,0.755102,0.122449
110,0,2,1,0.001638,0.321316,0,1,0.006897,0.333333,0.666667,0.333333
113,0,19,0.532164,0.015561,0.407,0.000312,1,0.452381,0.052632,0.947368,0
115,0,62,0.263353,0.050778,0.436852,0.004004,1,0.734043,0.57971,0.42029,0.101449
116,0,1,,0.000819,0.271514,0,1,0.002392,0,1,0
117,0,25,0.303333,0.020475,0.428271,0.003327,1,0.048638,0,1,0
118,0,93,0.4446,0.076167,0.409319,0.001792,1,0.246602,0.370079,0.629921,0.267717
119,0,98,0.199663,0.080262,0.467637,0.013333,1,0.143774,0.669643,0.330357,0.125
121,0,10,0.555556,0.00819,0.369888,0.001645,1,0.023697,0,1,0
123,0,8,0.428571,0.006552,0.370899,0.000039,1,0.014599,0.25,0.75,0
125,0,6,0.733333,0.004914,0.363609,0.000002,1,0.013245,0,1,0
127,0,9,0.277778,0.007371,0.339355,0.000203,1,0.014803,1,0,0
128,0,2,,0.001638,0.310371,0.000175,1,0.01087,0.5,0.5,0
129,0,1,,0.000819,0.264171,0,1,0.006667,0,1,0
130,0,18,0.156863,0.014742,0.382759,0.000637,1,0.050139,0.833333,0.166667,0
132,0,20,0.215789,0.01638,0.420021,0.000743,1,0.111732,0,1,0
133,0,2,,0.001638,0.308333,0.000018,0,0.003478,1,0,0
136,0,11,0.272727,0.009009,0.373166,0.000173,1,0.050209,0.5,0.5,0.083333
138,0,14,0.703297,0.011466,0.370449,0.00164,1,0.217391,0.066667,0.933333,0.066667
140,0,50,0.418776,0.04095,0.389722,0.000814,1,0.095406,0.351852,0.648148,0.074074
141,0,3,0.333333,0.002457,0.302078,0.000004,1,0.007538,0.666667,0.333333,0
142,0,6,0.2,0.004914,0.366007,0.000065,1,0.010738,0.25,0.75,0.25
143,0,5,0.9,0.004095,0.35838,0,1,0.067568,0.4,0.6,0
145,0,33,0.386364,0.027027,0.384567,0.000657,1,0.076037,1,0,0
147,0,6,0.333333,0.004914,0.361671,0.000083,1,0.017094,0,1,0
149,0,7,0.52381,0.005733,0.370674,0.000018,1,0.03139,0,1,0
150,0,117,0.288683,0.095823,0.454241,0.004375,1,0.493289,0.680272,0.319728,0.204082
151,0,23,0.450593,0.018837,0.411527,0.000139,1,0.052174,0.041667,0.958333,0.041667
152,0,2,,0.001638,0.289817,0.000018,1,0.019231,0,1,0
154,0,80,0.260443,0.06552,0.432059,0.001438,1,0.167715,1,0,0
156,0,42,0.307782,0.034398,0.419012,0.002746,1,0.062257,0.541667,0.458333,0.125
157,0,11,0.690909,0.009009,0.371463,0.000011,1,0.019264,0.181818,0.818182,0
158,0,1,,0.000819,0.281401,0,1,0.00565,0.5,0.5,0.5
160,0,19,0.140351,0.015561,0.39553,0.001097,1,4.2,0.142857,0.857143,0.095238
162,0,20,0.542105,0.01638,0.388854,0.000336,1,0.050562,0.333333,0.666667,0.259259
163,0,4,0.666667,0.003276,0.351165,0.000011,1,0.042553,0,1,0
165,0,18,0.320261,0.014742,0.385904,0.000236,1,0.043137,0.227273,0.772727,0.181818
166,0,1,,0.000819,0.334796,0,1,0.002375,0,1,0
167,0,52,0.459276,0.042588,0.416866,0.000965,1,0.175772,0.432432,0.567568,0.297297
168,0,26,0.449231,0.021294,0.379075,0.000177,1,0.034555,0.272727,0.727273,0.212121
171,0,1,,0.000819,0.259787,0,1,0.006803,1,0,0
172,0,87,0.356856,0.071253,0.415024,0.008379,1,0.161137,0.647059,0.352941,0.147059
173,0,1,,0.000819,0.222607,0,0,0.001414,0,1,0
175,0,2,,0.001638,0.33945,0,1,0.003559,0,1,0
177,0,38,0.412518,0.031122,0.392857,0.002844,1,4.222222,0,1,0
178,0,6,0.533333,0.004914,0.359859,0.000004,1,0.012367,0.142857,0.857143,0.142857
179,0,11,0.145455,0.009009,0.365569,0.000792,1,0.012731,0.181818,0.818182,0
184,0,1,,0.000819,0.300591,0,0,0.001468,0,1,0
